Target,Date of Observation (UT),# of Exposures,Exposure Length (ms),562nm Pixel Scale (arcsec/pixel),832nm Pixel Scale (arcsec/pixel),562nm Orientation (deg),832nm Orientation (deg)
del Cyg,20240814,9000,20,0.009826,0.010451,-89.37,-89.11
alf Cep,20240814,9000,20,0.009826,0.010451,-89.37,-89.11
bet Cas,20240814,9000,20,0.009826,0.010451,-89.37,-89.11
gam Cas,20240815,9000,20,0.009826,0.010451,-89.37,-89.11
del Cas,20240815,9000,20,0.009826,0.010451,-89.37,-89.11
alf Peg,20240816,9000,20,0.009826,0.010451,-89.37,-89.11
eta Tau,20240927,9000,20,0.009826,0.010451,-89.37,-89.11
bet Tau,20241120,12000,14,0.009826,0.010451,-89.37,-89.11
alf Cyg,20241121,12000,14,0.009826,0.010451,-89.37,-89.11
gam Ori,20241121,9000,14,0.009826,0.010451,-89.37,-89.11
bet CMi,20241121,12000,14,0.009826,0.010451,-89.37,-89.11
eps Aur,20250213,12000,20,0.009826,0.010451,-89.37,-89.11
eps Gem,20250213,12000,20,0.009826,0.010451,-89.37,-89.11
eps Leo,20250214,9000,20,0.009826,0.010451,-89.37,-89.11
alf02 CVn,20250214,9000,20,0.009826,0.010451,-89.37,-89.11
eta Boo,20250216,9000,20,0.009826,0.010451,-89.37,-89.11
eta UMa,20250217,12000,15,0.009826,0.010451,-89.37,-89.11
bet Dra,20250414,12000,15,0.009826,0.010451,-89.37,-89.11
zet Aql,20250214,9000,20,0.009826,0.010451,-89.37,-89.11
alf Gru,20240918,9000,14,0.009352,0.009931,-88.52,-88.33
alf Hyi,20240918,9000,14,0.009352,0.009931,-88.52,-88.33
bet Eri,20241113,12000,14,0.009352,0.009931,-88.52,-88.33
alf Lep,20241113,12000,14,0.009352,0.009931,-88.52,-88.33
bet CMa,20241113,12000,14,0.009352,0.009931,-88.52,-88.33
alf Col,20241114,12000,14,0.009352,0.009931,-88.52,-88.33
kap Ori,20241114,12000,14,0.009352,0.009931,-88.52,-88.33
eps Ori,20241114,12000,14,0.009352,0.009931,-88.52,-88.33
rho Pup,20241114,12000,14,0.009352,0.009931,-88.52,-88.33
eps CMa,20250109,18000,10.3,0.009352,0.009931,-88.52,-88.33
eta CMa,20250110,12000,13.9,0.009352,0.009931,-88.52,-88.33
zet Pup,20250110,12000,13.9,0.009352,0.009931,-88.52,-88.33
bet Car,20250110,12000,13.9,0.009352,0.009931,-88.52,-88.33
iot Car,20250110,12000,13.9,0.009352,0.009931,-88.52,-88.33
bet Lup,20250312,12000,15,0.009352,0.009931,-88.52,-88.33
gam TrA,20250313,12000,15,0.009352,0.009931,-88.52,-88.33
bet TrA,20250313,12000,15,0.009352,0.009931,-88.52,-88.33
zet Oph,20250512,9000,20,0.009468,0.010037,-88.89,-88.73
del Cru,20250513,9000,20,0.009468,0.010037,-88.89,-88.73
eta Cen,20250513,9000,20,0.009468,0.010037,-88.89,-88.73
